group,leaf,instance,gap,step,ones,y_first,y_last,y_high,y_final,A_final,B_final,sticks
4,a12.B,and2_2_14,0,1,"[8, 19, 30]",20,30,11,0,1,0,False
4,a12.B,and2_2_14,1,2,"[8, 30, 52]",31,52,22,0,1,0,False
4,a12.B,and2_2_14,2,3,"[8, 41, 74]",42,74,33,0,1,0,False
4,a12.B,and2_2_14,3,4,"[8, 52, 96]",53,96,44,0,1,0,False
4,a12.B,and2_2_14,4,5,"[8, 63, 118]",64,118,55,0,1,0,False
4,a5.B,and2_2_13,0,1,"[4, 15, 26]",16,26,11,0,1,0,False
4,a5.B,and2_2_13,1,2,"[4, 26, 48]",27,48,22,0,1,0,False
4,a5.B,and2_2_13,2,3,"[4, 37, 70]",38,70,33,0,1,0,False
4,a5.B,and2_2_13,3,4,"[4, 48, 92]",49,92,44,0,1,0,False
4,a5.B,and2_2_13,4,5,"[4, 59, 114]",60,114,55,0,1,0,False
4,a6.A,and2_2_11,0,1,"[1, 12, 23]",13,23,11,0,1,0,False
4,a6.A,and2_2_11,1,2,"[1, 23, 45]",24,45,22,0,1,0,False
4,a6.A,and2_2_11,2,3,"[1, 34, 67]",35,67,33,0,1,0,False
4,a6.A,and2_2_11,3,4,"[1, 45, 89]",46,89,44,0,1,0,False
4,a6.A,and2_2_11,4,5,"[1, 56, 111]",57,111,55,0,1,0,False
4,a6.D,and2_2_12,0,1,"[2, 13, 24]",14,24,11,0,1,0,False
4,a6.D,and2_2_12,1,2,"[2, 24, 46]",25,46,22,0,1,0,False
4,a6.D,and2_2_12,2,3,"[2, 35, 68]",36,68,33,0,1,0,False
4,a6.D,and2_2_12,3,4,"[2, 46, 90]",47,90,44,0,1,0,False
4,a6.D,and2_2_12,4,5,"[2, 57, 112]",58,112,55,0,1,0,False
