label,mode,cyc,I,enable,op_a6_A,AN_a6_A,B_a6_A,Y_a6_A,op_a6_D,AN_a6_D,B_a6_D,Y_a6_D,op_a5_B,AN_a5_B,B_a5_B,Y_a5_B,op_a12_B,AN_a12_B,B_a12_B,Y_a12_B
t04_a6_A_k1,20,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
t04_a6_A_k1,20,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
t04_a6_A_k1,20,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,11,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,12,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,13,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,15,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
t04_a6_A_k1,20,16,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,17,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,18,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,19,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
t04_a6_A_k1,20,20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,21,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,22,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,23,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,24,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,26,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
t04_a6_A_k1,20,27,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,28,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,29,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,30,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
t04_a6_A_k1,20,31,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,32,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,33,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,34,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,35,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,36,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,37,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
t04_a6_A_k1,20,38,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,39,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,40,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,41,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
t04_a6_A_k1,20,42,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,43,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,44,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,45,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,46,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,47,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
t04_a6_A_k1,20,48,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
