group,leaf,instance,start,gap,ones,delta_cyc,y_first,y_last,y_high,y_final,A_final,B_final,sticks
4,a12.B,and2_2_14,1,0,"[19, 30]",11,31,120,90,1,1,1,True
4,a12.B,and2_2_14,1,1,"[19, 41]",22,42,120,79,1,1,1,True
4,a12.B,and2_2_14,1,2,"[19, 52]",33,53,120,68,1,1,1,True
4,a12.B,and2_2_14,1,3,"[19, 63]",44,64,120,57,1,1,1,True
4,a12.B,and2_2_14,1,4,"[19, 74]",55,75,120,46,1,1,1,True
4,a12.B,and2_2_14,2,0,"[30, 41]",11,42,120,79,1,1,1,True
4,a12.B,and2_2_14,2,1,"[30, 52]",22,53,120,68,1,1,1,True
4,a12.B,and2_2_14,2,2,"[30, 63]",33,64,120,57,1,1,1,True
4,a12.B,and2_2_14,2,3,"[30, 74]",44,75,120,46,1,1,1,True
4,a12.B,and2_2_14,2,4,"[30, 85]",55,86,120,35,1,1,1,True
4,a12.B,and2_2_14,3,0,"[41, 52]",11,53,120,68,1,1,1,True
4,a12.B,and2_2_14,3,1,"[41, 63]",22,64,120,57,1,1,1,True
4,a12.B,and2_2_14,3,2,"[41, 74]",33,75,120,46,1,1,1,True
4,a12.B,and2_2_14,3,3,"[41, 85]",44,86,120,35,1,1,1,True
4,a12.B,and2_2_14,3,4,"[41, 96]",55,97,120,24,1,1,1,True
4,a5.B,and2_2_13,1,0,"[15, 26]",11,27,120,94,1,1,1,True
4,a5.B,and2_2_13,1,1,"[15, 37]",22,38,120,83,1,1,1,True
4,a5.B,and2_2_13,1,2,"[15, 48]",33,49,120,72,1,1,1,True
4,a5.B,and2_2_13,1,3,"[15, 59]",44,60,120,61,1,1,1,True
4,a5.B,and2_2_13,1,4,"[15, 70]",55,71,120,50,1,1,1,True
4,a5.B,and2_2_13,2,0,"[26, 37]",11,38,120,83,1,1,1,True
4,a5.B,and2_2_13,2,1,"[26, 48]",22,49,120,72,1,1,1,True
4,a5.B,and2_2_13,2,2,"[26, 59]",33,60,120,61,1,1,1,True
4,a5.B,and2_2_13,2,3,"[26, 70]",44,71,120,50,1,1,1,True
4,a5.B,and2_2_13,2,4,"[26, 81]",55,82,120,39,1,1,1,True
4,a5.B,and2_2_13,3,0,"[37, 48]",11,49,120,72,1,1,1,True
4,a5.B,and2_2_13,3,1,"[37, 59]",22,60,120,61,1,1,1,True
4,a5.B,and2_2_13,3,2,"[37, 70]",33,71,120,50,1,1,1,True
4,a5.B,and2_2_13,3,3,"[37, 81]",44,82,120,39,1,1,1,True
4,a5.B,and2_2_13,3,4,"[37, 92]",55,93,120,28,1,1,1,True
4,a6.A,and2_2_11,1,0,"[12, 23]",11,24,120,97,1,1,1,True
4,a6.A,and2_2_11,1,1,"[12, 34]",22,35,120,86,1,1,1,True
4,a6.A,and2_2_11,1,2,"[12, 45]",33,46,120,75,1,1,1,True
4,a6.A,and2_2_11,1,3,"[12, 56]",44,57,120,64,1,1,1,True
4,a6.A,and2_2_11,1,4,"[12, 67]",55,68,120,53,1,1,1,True
4,a6.A,and2_2_11,2,0,"[23, 34]",11,35,120,86,1,1,1,True
4,a6.A,and2_2_11,2,1,"[23, 45]",22,46,120,75,1,1,1,True
4,a6.A,and2_2_11,2,2,"[23, 56]",33,57,120,64,1,1,1,True
4,a6.A,and2_2_11,2,3,"[23, 67]",44,68,120,53,1,1,1,True
4,a6.A,and2_2_11,2,4,"[23, 78]",55,79,120,42,1,1,1,True
4,a6.A,and2_2_11,3,0,"[34, 45]",11,46,120,75,1,1,1,True
4,a6.A,and2_2_11,3,1,"[34, 56]",22,57,120,64,1,1,1,True
4,a6.A,and2_2_11,3,2,"[34, 67]",33,68,120,53,1,1,1,True
4,a6.A,and2_2_11,3,3,"[34, 78]",44,79,120,42,1,1,1,True
4,a6.A,and2_2_11,3,4,"[34, 89]",55,90,120,31,1,1,1,True
4,a6.D,and2_2_12,1,0,"[13, 24]",11,25,120,96,1,1,1,True
4,a6.D,and2_2_12,1,1,"[13, 35]",22,36,120,85,1,1,1,True
4,a6.D,and2_2_12,1,2,"[13, 46]",33,47,120,74,1,1,1,True
4,a6.D,and2_2_12,1,3,"[13, 57]",44,58,120,63,1,1,1,True
4,a6.D,and2_2_12,1,4,"[13, 68]",55,69,120,52,1,1,1,True
4,a6.D,and2_2_12,2,0,"[24, 35]",11,36,120,85,1,1,1,True
4,a6.D,and2_2_12,2,1,"[24, 46]",22,47,120,74,1,1,1,True
4,a6.D,and2_2_12,2,2,"[24, 57]",33,58,120,63,1,1,1,True
4,a6.D,and2_2_12,2,3,"[24, 68]",44,69,120,52,1,1,1,True
4,a6.D,and2_2_12,2,4,"[24, 79]",55,80,120,41,1,1,1,True
4,a6.D,and2_2_12,3,0,"[35, 46]",11,47,120,74,1,1,1,True
4,a6.D,and2_2_12,3,1,"[35, 57]",22,58,120,63,1,1,1,True
4,a6.D,and2_2_12,3,2,"[35, 68]",33,69,120,52,1,1,1,True
4,a6.D,and2_2_12,3,3,"[35, 79]",44,80,120,41,1,1,1,True
4,a6.D,and2_2_12,3,4,"[35, 90]",55,91,120,30,1,1,1,True
