group,leaf,instance,gap,c0,c1,delta_cyc,opens_skipped,y_first,y_last,y_high,y_final,A_final,B_final,sticks
4,a12.B,and2_2_14,0,8,19,11,[],20,120,101,1,1,1,True
4,a12.B,and2_2_14,1,8,30,22,[19],31,120,90,1,1,1,True
4,a12.B,and2_2_14,2,8,41,33,"[19, 30]",42,120,79,1,1,1,True
4,a12.B,and2_2_14,3,8,52,44,"[19, 30, 41]",53,120,68,1,1,1,True
4,a12.B,and2_2_14,4,8,63,55,"[19, 30, 41, 52]",64,120,57,1,1,1,True
4,a5.B,and2_2_13,0,4,15,11,[],16,120,105,1,1,1,True
4,a5.B,and2_2_13,1,4,26,22,[15],27,120,94,1,1,1,True
4,a5.B,and2_2_13,2,4,37,33,"[15, 26]",38,120,83,1,1,1,True
4,a5.B,and2_2_13,3,4,48,44,"[15, 26, 37]",49,120,72,1,1,1,True
4,a5.B,and2_2_13,4,4,59,55,"[15, 26, 37, 48]",60,120,61,1,1,1,True
4,a6.A,and2_2_11,0,1,12,11,[],13,120,108,1,1,1,True
4,a6.A,and2_2_11,1,1,23,22,[12],24,120,97,1,1,1,True
4,a6.A,and2_2_11,2,1,34,33,"[12, 23]",35,120,86,1,1,1,True
4,a6.A,and2_2_11,3,1,45,44,"[12, 23, 34]",46,120,75,1,1,1,True
4,a6.A,and2_2_11,4,1,56,55,"[12, 23, 34, 45]",57,120,64,1,1,1,True
4,a6.D,and2_2_12,0,2,13,11,[],14,120,107,1,1,1,True
4,a6.D,and2_2_12,1,2,24,22,[13],25,120,96,1,1,1,True
4,a6.D,and2_2_12,2,2,35,33,"[13, 24]",36,120,85,1,1,1,True
4,a6.D,and2_2_12,3,2,46,44,"[13, 24, 35]",47,120,74,1,1,1,True
4,a6.D,and2_2_12,4,2,57,55,"[13, 24, 35, 46]",58,120,63,1,1,1,True
